"CRN","Subject","Course","Section","Title","Credits","MeetingType","Time","Days","Location","DateRange","ScheduleType","Instructors"
"10218","CS","204","0","Advanced Programming","3.000","Class","12:40 pm - 1:30 pm","W","Sabancı Business School G071","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10221","CS","204L","A1","Advanced Programming Lab","0.000","Class","10:40 am - 12:30 pm","F","Fac. of Engin. and Nat. Sci. L065","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10222","CS","204L","A2","Advanced Programming Lab","0.000","Class","10:40 am - 12:30 pm","F","Fac. of Engin. and Nat. Sci. L058","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"13581","CS","204L","A3","Advanced Programming Lab","0.000","Class","10:40 am - 12:30 pm","F","Fac. of Engin. and Nat. Sci. L029","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10223","CS","204L","B1","Advanced Programming Lab","0.000","Class","8:40 am - 10:30 am","F","Fac. of Engin. and Nat. Sci. L067","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10225","CS","204L","B2","Advanced Programming Lab","0.000","Class","8:40 am - 10:30 am","F","Sabancı Business School G060","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"13582","CS","204L","B3","Advanced Programming Lab","0.000","Class","8:40 am - 10:30 am","F","Fac.of Arts and Social Sci. G049","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10226","CS","204L","C1","Advanced Programming Lab","0.000","Class","2:40 pm - 4:30 pm","F","Fac. of Engin. and Nat. Sci. G032","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"10227","CS","204L","C2","Advanced Programming Lab","0.000","Class","2:40 pm - 4:30 pm","F","Fac. of Engin. and Nat. Sci. L027","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
"13583","CS","204L","C3","Advanced Programming Lab","0.000","Class","2:40 pm - 4:30 pm","F","Fac.of Arts and Social Sci. 1076","Sep 28, 2026 - Dec 31, 2026","1st del","Kamer Kaya (P)"
