"Experimental Psychology - With Master's Degree","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
DS 552,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DS 590,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 513,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 533,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DT 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 506,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 526,F,F,F,F,F,F,F,F,F,F,F,F,,,,
ECON 571,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 591,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
