"Data Science and Analytics","202501","202502","202503","202601"
IR 394,F,F,F,F
IR 402,F,F,F,F
IR 405,F,F,F,F
IR 410,F,F,F,F
IR 489,F,F,F,F
LAW 311,F,F,F,F
LAW 312,F,F,F,F
LIT 212,F,F,F,F
LIT 359,F,F,F,F
LIT 394,F,F,F,F
LIT 440,F,F,F,F
LIT 445,F,F,F,F
MATH 206,F,F,F,F
MATH 301,F,F,F,F
MATH 305,F,F,F,F
MATH 307,F,F,F,F
MATH 311,F,F,F,F
MATH 317,F,F,F,F
MATH 318,F,F,F,F
MATH 322,F,F,F,F
MATH 409,F,F,F,F
MATH 410,F,F,F,F
MATH 414,F,F,F,F
MATH 428,F,F,F,F
MAT 204,F,F,F,F
MAT 206,F,F,F,F
MAT 302,F,F,F,F
MAT 305,F,F,F,F
MAT 306,F,F,F,F
MAT 307,F,F,F,F
MAT 308,F,F,F,F
MAT 309,F,F,F,F
MAT 312,F,F,F,F
MAT 314,F,F,F,F
MAT 401,F,F,F,F
MAT 402,F,F,F,F
MAT 404,F,F,F,F
MAT 405,F,F,F,F
MAT 406,F,F,F,F
MAT 408,F,F,F,F
MAT 416,F,F,F,F
MAT 422,F,F,F,F
MAT 423,F,F,F,F
MAT 424,F,F,F,F
MAT 48000,F,F,F,F
MAT 48003,F,F,F,F
MAT 48004,F,F,F,F
ME 301,F,F,F,F
ME 302,F,F,F,F
ME 303,F,F,F,F
ME 304,F,F,F,F
ME 305,F,F,F,F
ME 307,F,F,F,F
ME 308,F,F,F,F
ME 309,F,F,F,F
ME 312,F,F,F,F
ME 402,F,F,F,F
ME 403,F,F,F,F
ME 405,F,F,F,F
ME 408,F,F,F,F
ME 409,F,F,F,F
ME 412,F,F,F,F
ME 415,F,F,F,F
ME 420,F,F,F,F
ME 425,F,F,F,F
ME 435,F,F,F,F
ME 437,F,F,F,F
ME 441,F,F,F,F
MGMT 201,F,F,F,F
MGMT 203,F,F,F,F
MGMT 213,F,F,F,F
MGMT 301,F,F,F,F
MGMT 302,F,F,F,F
MGMT 309,F,F,F,F
MGMT 310,F,F,F,F
MGMT 333,F,F,F,F
MGMT 401,F,F,F,F
MGMT 402,F,F,F,F
MGMT 403,F,F,F,F
MGMT 405,F,F,F,F
MGMT 410,F,F,F,F
MGMT 411,F,F,F,F
MGMT 412,F,F,F,F
MGMT 413,F,F,F,F
MGMT 414,F,F,F,F
MGMT 415,F,F,F,F
MGMT 417,F,F,F,F
MGMT 418,F,F,F,F
MGMT 419,F,F,F,F
MGMT 423,F,F,F,F
MGMT 424,F,F,F,F
MGMT 425,F,F,F,F
MGMT 426,F,F,F,F
MGMT 491,F,F,F,F
MGMT 492,F,F,F,F
MGMT 495,F,F,F,F
MGMT 496,F,F,F,F
MGMT 499,F,F,F,F
MKTG 301,F,F,F,F
MKTG 402,F,F,F,F
MKTG 406,F,F,F,F
MKTG 407,F,F,F,F
MKTG 411,F,F,F,F
MKTG 412,F,F,F,F
NS 200,F,F,F,F
NS 201,F,F,F,F
NS 206,F,F,F,F
NS 207,F,F,F,F
NS 208,F,F,F,F
NS 209,F,F,F,F
NS 214,F,F,F,F
NS 216,F,F,F,F
NS 218,F,F,F,F
NS 222,F,F,F,F
OPIM 301,F,F,F,F
OPIM 401,F,F,F,F
OPIM 412,F,F,F,F
OPIM 413,F,F,F,F
ORG 301,F,F,F,F
ORG 302,F,F,F,F
ORG 401,F,F,F,F
ORG 403,F,F,F,F
ORG 404,F,F,F,F
ORG 405,F,F,F,F
PHIL 202,F,F,F,F
PHIL 300,F,F,F,F
PHIL 301,F,F,F,F
PHIL 310,F,F,F,F
PHIL 321,F,F,F,F
PHIL 322,F,F,F,F
PHIL 370,F,F,F,F
PHIL 399,F,F,F,F
PHIL 401,F,F,F,F
PHIL 450,F,F,F,F
PHIL 460,F,F,F,F
PHYS 113,F,F,F,F
PHYS 211,F,F,F,F
PHYS 302,F,F,F,F
PHYS 303,F,F,F,F
PHYS 304,F,F,F,F
PHYS 401,F,F,F,F
PHYS 411,F,F,F,F
PHYS 412,F,F,F,F
PHYS 484,F,F,F,F
POLS 250,F,F,F,F
POLS 251,F,F,F,F
POLS 301,F,F,F,F
POLS 302,F,F,F,F
POLS 303,F,F,F,F
POLS 305,F,F,F,F
POLS 307,F,F,F,F
POLS 351,F,F,F,F
POLS 352,F,F,F,F
POLS 353,F,F,F,F
POLS 354,F,F,F,F
POLS 364,F,F,F,F
POLS 365,F,F,F,F
POLS 366,F,F,F,F
POLS 392,F,F,F,F
POLS 393,F,F,F,F
POLS 399,F,F,F,F
POLS 400,F,F,F,F
POLS 403,F,F,F,F
