"Computer Science and Engineering","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
CS 405,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 406,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 407,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 408,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 411,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 412,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 419,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 432,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 436,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 437,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 439,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,
CS 445,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 449,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
CS 460,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
DSA 210,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E
EL 308,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 206,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E
ENS 210,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E
ENS 211,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E,C:E
ENS 498,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
