"Visual Arts and Visual Communications Design","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HUM 317,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required
HUM 321,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required
HUM 322,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required
HUM 324,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,,,,,,,,,,,
HUM 371,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required,DFoundationally Required
PROJ 300,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,,,,,,,,,,,,,,,,
VA 201,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A
VA 203,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A,RRequired:A
VA 300,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
VA 301,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
VA 303,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
VA 401,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
VA 403,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired,RRequired
HART 292,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A
HART 293,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A
HART 311,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,,,,,,,,,,,,
HART 380,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,
HART 392,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
