"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
CS 48004,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48006,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48007,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,
CS 48008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48011,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48012,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 355,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 361,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 368,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
CULT 370,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 391,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 421,F,F,F,F,F,F,F,,,,,,,,,,,,
CULT 432,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 451,F,F,F,F,F,F,F,F,F,,,,,,,,,,
CULT 453,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 491,F,F,F,F,F,F,F,,,,,,,,,,,,
DSA 210,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
DSA 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DSA 428,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DSA 440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DSA 473,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECNA 200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 201,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
ECON 204,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
ECON 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 312,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 321,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
