"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
NS 207,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E
NS 208,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NS 209,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NS 210,F,F,F,F,F,F,F,,,,,,,,,,,,
NS 212,F,F,F,F,F,F,F,,,,,,,,,,,,
NS 216,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
NS 218,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
NS 220,F,F,F,F,F,F,F,F,F,,,,,,,,,,
NS 222,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NS 48000,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
OPIM 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 302,F,F,F,F,F,F,F,F,F,F,F,F,F:M,F:M,F:M,F:M,F:M,F:M,F:M
OPIM 390,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 402,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 403,F,F,F,F,F,F,F,F,,,,,,,,,,,
OPIM 404,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 405,F,F,F,F,F,F,F,F,,,,,,,,,,,
OPIM 406,F,F,F,F,F,F,F,F,,,,,,,,,,,
OPIM 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 408,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 409,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 410,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 412,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 413,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 416,F,F,F,F,F,F,F,F,,,,,,,,,,,
ORG 301,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M
ORG 302,F,F,F,F,F,F,F,F,F,F,F,F,F:M,F:M,F:M,F:M,F:M,F:M,F:M
ORG 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 403,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 404,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 450,F,F,,,,,,,,,,,,,,,,,
PERS 120,F,F,,,,,,,,,,,,,,,,,
PHIL 202,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
PHIL 300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 321,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
PHIL 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 340,F,F,F,F,,,,,,,,,,,,,,,
PHIL 370,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 460,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 113,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E
PHYS 211,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
PHYS 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 303,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F,F,F,F,F,F,F
PHYS 304,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 313,F,F,F,F,F,F,F,,,,,,,,,,,,
PHYS 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 411,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 412,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 484,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 492,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
POLS 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 305,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 307,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 354,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 364,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 365,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 392,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 393,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 421,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 448,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 491,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 495,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PROJ 102,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PROJ 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PROJ 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 201,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
PSY 202,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 203,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 304,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 305,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 306,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 310,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
PSY 311,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 312,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 314,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 315,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 316,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 317,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 320,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 325,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 340,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
PSY 341,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 343,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 344,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 345,F,F,F,F,,,,,,,,,,,,,,,
PSY 350,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 360,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 361,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 362,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 363,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 364,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 365,F,F,F,,,,,,,,,,,,,,,,
PSY 366,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 368,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 398,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 403,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 410,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 411,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 412,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 414,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 415,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 416,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 418,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 421,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 422,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 423,F,F,F,F,F,F,,,,,,,,,,,,,
PSY 424,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 442,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 443,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 444,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 445,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 450,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 452,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 467,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 469,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 480,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 481,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 426,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
SOC 432,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPA 110,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPA 120,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPA 130,F,F,,,,,,,,,,,,,,,,,
SPS 201,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TLL 001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TLL 110,F,F,,,,,,,,,,,,,,,,,
TLL 130,F,F,,,,,,,,,,,,,,,,,
TLL 150,F,F,,,,,,,,,,,,,,,,,
TS 320,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TUR 101,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TUR 102,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TUR 201,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 201,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
VA 202,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 203,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
VA 204,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 234,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 267,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 304,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 311,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 312,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
VA 315,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
VA 321,F,F,F,F,F,F,,,,,,,,,,,,,
VA 323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 324,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 325,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 328,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 329,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 331,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 333,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 335,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 336,F,F,F,F,F,F,,,,,,,,,,,,,
VA 345,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 402,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 403,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 404,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 420,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 423,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 424,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 430,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 431,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 433,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 434,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 437,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 439,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 450,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 453,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 455,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 465,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 481,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,
VA 482,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,
VA 490,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VIS 308,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,
VIS 310,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,
VIS 412,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,
XM 490,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ACC 403,F,,,,,,,,,,,,,,,,,,
BIO 370,F,,,,,,,,,,,,,,,,,,
ENS 309,F,,,,,,,,,,,,,,,,,,
FIN 408,F,,,,,,,,,,,,,,,,,,
MGMT 451,F,,,,,,,,,,,,,,,,,,
ORG 451,F,,,,,,,,,,,,,,,,,,
PERS 110,F,,,,,,,,,,,,,,,,,,
SOC 313,F,,,,,,,,,,,,,,,,,,
